Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
        don't be shy their great people  _emoj_thumbsup_   _emoj_fitzpatrick_type_1_2_  _emoj_thumbsup_   _emoj_fitzpatrick_type_1_2_,0,0,0,0,0,1,1,0,0,0,0
       Bahahahaha Dean looks hilarious and damn I got fat,0,0,0,0,0,1,0,0,0,1,0
      I have never been more anxious of a election in my life  _emoj_double_exclamation_mark_ ufe0f ,0,0,0,1,0,0,0,0,0,0,0
      I have never been more anxious of a election in my life  _emoj_double_exclamation_mark_ ufe0f fearful,0,0,0,1,0,0,0,0,0,0,0
      to give me my keys back They aren't for my house ,1,1,0,0,0,0,0,0,0,0,0
      to give me my keys back They aren't for my house shocking,1,0,1,1,0,0,0,0,0,1,0
      took its first baby  step now let's hope they will start running,0,1,0,0,1,1,1,0,0,0,0
     And also trying to find it on Youtube is a fucking nightmare,1,0,1,0,0,0,0,0,0,0,0
     Apparently nothing like the terror cops have of black people,1,0,1,1,0,0,0,0,0,0,0
     awe I feel so bad being naive ou is the worst,0,0,0,0,0,0,0,0,1,0,0
     Go Jags  _emoj_leopard_  I think we have a good shot of beating Deep Run tomorrow ,0,1,0,0,0,1,0,0,0,0,1
     Go Jags  _emoj_leopard_  I think we have a good shot of beating Deep Run tomorrow revenge,1,1,0,0,0,1,1,0,0,0,0
     How did that chop feel You still feel the sting of it Looks brutal,1,1,1,0,0,0,0,0,0,0,0
     terrible handle but I owe whoever runs it a lot GPPHallMonitor,1,0,0,0,0,0,0,0,0,0,0
     terrorist attack and terrorism already exists in the history of islam,0,0,0,1,0,0,0,0,0,0,0
     Using fear to state his views Not getting the facts before making a serious statement,1,0,1,1,0,0,0,1,0,0,0
    _emoj_joy_   _emoj_joy_   _emoj_joy_  y'all know I'm crazy its just shocking that's all,0,0,0,0,0,0,0,0,0,1,0
    Doubt U have anything to be afraid of as Trump has been vilifying minorities amp women,1,0,1,0,0,0,0,0,0,0,0
    Even the painting is orange  terrible Election2016,1,0,1,0,0,0,0,0,0,0,0
    Fucker blocked me years ago over a question lol  proper holds a grudge old Joe,1,0,0,0,0,0,0,0,0,0,0
    gotta shake the booty instead though makes sure it's all good   _emoj_slightly_smiling_face_,0,0,0,0,0,1,0,0,0,0,0
    he sure as hell helped me with my depression and still does,0,0,0,0,0,0,1,0,1,0,1
    He's jubilant to hear the word that he probably uses in secret heard out loud,0,0,0,0,0,1,0,0,0,0,0
    I see my 'eliminate the hanging tongue' campaign is a dismal failure,1,0,1,0,0,0,0,0,0,0,0
    please Or you could be clouded by your passion Emotion leads you from the truth,0,0,0,0,0,0,1,0,0,0,0
    summar one more insult from you and you're gone Idc if you're my dad,0,0,1,0,0,0,0,0,0,0,0
