Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
        don't be shy their great people  _emoj_thumbsup_   _emoj_fitzpatrick_type_1_2_  _emoj_thumbsup_   _emoj_fitzpatrick_type_1_2_,,,,,1,,,,,,
        don't be shy their great people  _emoj_thumbsup_   _emoj_fitzpatrick_type_1_2_  _emoj_thumbsup_   _emoj_fitzpatrick_type_1_2_,,,,,,,1,,,,
       Bahahahaha Dean looks hilarious and damn I got fat,,,,,1,,,,,,
       Bahahahaha Dean looks hilarious and damn I got fat,,,,,,,,,,1,
      I have never been more anxious of a election in my life  _emoj_double_exclamation_mark_ ufe0f ,,,,1,,,,,,,
      I have never been more anxious of a election in my life  _emoj_double_exclamation_mark_ ufe0f fearful,,,,1,,,,,,,
      to give me my keys back They aren't for my house ,1,,,,,,,,,,
      to give me my keys back They aren't for my house ,,1,,,,,,,,,
      to give me my keys back They aren't for my house shocking,1,,,,,,,,,,
      to give me my keys back They aren't for my house shocking,,,1,,,,,,,,
      to give me my keys back They aren't for my house shocking,,,,1,,,,,,,
      to give me my keys back They aren't for my house shocking,,,,,,,,,,1,
      took its first baby  step now let's hope they will start running,,1,,,,,,,,,
      took its first baby  step now let's hope they will start running,,,,,1,,,,,,
      took its first baby  step now let's hope they will start running,,,,,,1,,,,,
      took its first baby  step now let's hope they will start running,,,,,,,1,,,,
     And also trying to find it on Youtube is a fucking nightmare,1,,,,,,,,,,
     And also trying to find it on Youtube is a fucking nightmare,,,1,,,,,,,,
     Apparently nothing like the terror cops have of black people,1,,,,,,,,,,
     Apparently nothing like the terror cops have of black people,,,1,,,,,,,,
     Apparently nothing like the terror cops have of black people,,,,1,,,,,,,
     awe I feel so bad being naive ou is the worst,,,,,,,,,1,,
     Go Jags  _emoj_leopard_  I think we have a good shot of beating Deep Run tomorrow ,,1,,,,,,,,,
     Go Jags  _emoj_leopard_  I think we have a good shot of beating Deep Run tomorrow ,,,,,1,,,,,,
     Go Jags  _emoj_leopard_  I think we have a good shot of beating Deep Run tomorrow ,,,,,,,,,,,1
     Go Jags  _emoj_leopard_  I think we have a good shot of beating Deep Run tomorrow revenge,1,,,,,,,,,,
     Go Jags  _emoj_leopard_  I think we have a good shot of beating Deep Run tomorrow revenge,,1,,,,,,,,,
     Go Jags  _emoj_leopard_  I think we have a good shot of beating Deep Run tomorrow revenge,,,,,1,,,,,,
     Go Jags  _emoj_leopard_  I think we have a good shot of beating Deep Run tomorrow revenge,,,,,,,1,,,,
     How did that chop feel You still feel the sting of it Looks brutal,1,,,,,,,,,,
     How did that chop feel You still feel the sting of it Looks brutal,,1,,,,,,,,,
     How did that chop feel You still feel the sting of it Looks brutal,,,1,,,,,,,,
     terrible handle but I owe whoever runs it a lot GPPHallMonitor,1,,,,,,,,,,
     terrorist attack and terrorism already exists in the history of islam,,,,1,,,,,,,
     Using fear to state his views Not getting the facts before making a serious statement,1,,,,,,,,,,
     Using fear to state his views Not getting the facts before making a serious statement,,,1,,,,,,,,
     Using fear to state his views Not getting the facts before making a serious statement,,,,1,,,,,,,
     Using fear to state his views Not getting the facts before making a serious statement,,,,,,,,1,,,
    _emoj_joy_   _emoj_joy_   _emoj_joy_  y'all know I'm crazy its just shocking that's all,,,,,,,,,,1,
    Doubt U have anything to be afraid of as Trump has been vilifying minorities amp women,1,,,,,,,,,,
