Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
Worry is a down payment on a problem you may never have'  Joyce Meyer  motivation leadership worry,0,1,0,0,0,0,1,0,0,0,1
Whatever you decide to do make sure it makes you happy,0,0,0,0,1,1,1,0,0,0,0
  it also helps that the majority of NFL coaching is inept Some of Bill O'Brien's play calling was wow  GOPATS,1,0,1,0,1,0,1,0,0,0,0
Accept the challenges so that you can literally even feel the exhilaration of victory'  George S Patton   _emoj_dog_ ,0,0,0,0,1,0,1,0,0,0,0
My roommate it's okay that we can't spell because we have autocorrect terrible firstworldprobs,1,0,1,0,0,0,0,0,0,0,0
No but that's so cute Atsu was probably shy about photos before but cherry helped her out uwu,0,0,0,0,1,0,0,0,0,0,0
Do you think humans have the sense for recognizing impending doom ,0,1,0,0,0,0,0,1,0,0,0
Rooneys fucking untouchable isn't he Been fucking dreadful again depay has looked decentishtonight,1,0,1,0,0,0,0,0,0,0,0
it's pretty depressing when u hit pan on ur favourite highlighter,0,0,1,0,0,0,0,0,1,0,0
 but your pussy was weak from what I heard so stfu up to me bitch  You got to threaten him that your pregnant ,1,0,1,0,0,0,0,0,0,0,0
Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist college,0,0,1,0,0,0,0,1,1,0,0
And it's hard to dance with a devil on your back So shake him off,0,0,0,0,0,0,0,0,0,0,0
Tiller and breezy should do a collab album Rapping and singing prolly be fire,0,0,0,0,1,1,0,0,0,0,0
SO to the girl that just hit my carnot only did she get lucky w no scratch but also from being spared the wrath of sleep deprived Kait  _emoj_upside_down_face_,1,0,0,0,0,0,0,0,1,0,0
 broadband is shocking regretting signing up now angry shouldofgonewithvirgin,1,0,1,0,0,0,0,0,0,0,0
People you need to look up the definition of protest What you are doing is not protesting is called vandalism angry stop,1,0,1,0,0,0,0,0,1,0,0
 Look at those teef growl,1,0,1,1,0,0,0,0,0,0,0
Star trek online has a update to download oh fuming yay,1,0,1,0,1,0,0,0,1,0,0
The bitter the battle the sweeter the victory,0,0,0,0,1,0,1,0,0,0,0
i cant stop i finished  dejected luckily no one is in the bathroom so i go to a stall and wait until my pants are dry,1,0,1,0,0,0,0,0,1,0,0
  USA was embarrassing to watch When was the last time you guys won a game horrible joke,1,0,1,0,0,0,0,0,0,0,0
NewYork Several Baloch amp Indian activists hold demonstrations outside  headquarters demanding Pak to stop exporting terror into India,0,0,0,1,0,0,0,0,1,0,0
